帧号,车辆ID,速度(m/s),距离(m),角度(deg)
152,250,12.814557695195937,89.27015214303358,-3.371524532159101
152,251,14.648899509024165,66.57215853155216,-7.552600043014819
152,252,13.07825918323991,28.380912278380183,-17.95716004573268
152,253,-12.111420130504612,151.53117679131202,0.6617109776249657
152,254,-11.372986209052007,154.79870499413224,3.2403722264412984
152,255,-14.325758235912042,143.4546960355808,2.097317391474414
153,248,14.536608081287799,106.1019376065694,-4.730432738994242
153,249,13.811771872142856,96.63067160754424,-1.0376942872791772
153,250,12.81880139355635,90.5519631787499,-3.3237448213828023
153,251,14.71374200296842,68.04312776066031,-7.388405177940385
153,252,13.22353040812166,29.698754424794267,-17.135061138543165
153,253,-12.175048952136178,150.31366287822487,0.6670709599680484
153,254,-11.408275538905484,154.79870499413224,3.2403722264412984
153,255,-14.373564174146043,142.01731495959024,2.1185543234926536
154,248,14.501117851689926,107.55195477405528,-4.666514602753359
154,249,13.901748804468154,98.02081680726619,-1.022975983709734
154,250,12.84553366532482,91.83643940846989,-3.2772059274729988
154,251,14.733443268551017,69.51609658403203,-7.231007361126163
154,252,13.32215878154752,31.027015046893705,-16.38034208117133
154,253,-12.208744473587627,149.0927739488535,0.6725337116626934
154,254,-11.439562253333808,152.5139185528156,3.2889687148447524
154,255,-14.345427635726818,140.58275250998796,2.140182905632785
155,248,14.495067621346715,109.00136682149193,-4.604328236477607
155,249,13.808455481689704,99.40161600583014,-1.0087642286761072
155,250,12.839152778415073,93.12029101610094,-3.231974692831914
155,251,14.727972227675897,70.98854310286102,-7.080245164760243
155,252,13.394710169147114,32.36299656641852,-15.686315745903833
155,253,-12.120548127427458,147.88071431935313,0.6780461874825534
155,254,-11.421629961098283,151.37173188837085,3.313813477967053
155,255,-14.29334116345423,139.15339010345517,2.1621769264601114
156,248,14.504118202250131,110.45168280602165,-4.543741935018142
156,249,13.862071045598666,100.78779119276562,-0.9948888826550718
156,250,12.891123591517196,94.40933734305794,-3.1878000455053397
156,251,14.70444097103268,72.45865407636639,-6.935881069817407
156,252,13.42207439078823,33.70214536281919,-15.047953874424078
156,253,-12.142330694279888,146.66646957525825,0.6836599650337024
156,254,-11.358340761495363,150.2358815280375,3.3388956799963814
156,255,-14.407426808219238,137.71262830535272,2.184808727800054
157,248,14.487832638854384,111.9003875630445,-4.484795704063241
157,249,13.853338186981993,102.17308810373723,-0.9813985179312283
157,250,12.817609199296692,95.69104505348882,-3.1450586950432267
157,251,14.696038635260535,73.92793921666542,-6.797376414278666
157,252,13.493583665202234,35.048783079631,-14.456922338226828
157,253,-12.098767497754137,145.4565878587137,0.6893467988362353
157,254,-11.33162167036899,149.1026996789755,3.36430041021378
157,255,-14.322370948681087,136.28035609132056,2.207781829237413
158,248,14.50118868476612,113.35042277240301,-4.4273087523181704
158,249,13.862291528051973,103.5592761447529,-0.9682607929671702
158,250,12.849481206357662,96.97592848279893,-3.1033471395696655
158,251,14.76251039292201,75.40389682992912,-6.663715119596101
158,252,13.523607377007936,36.39871660551365,-13.909742075682646
158,253,-12.125908103644813,144.2439883771612,0.6951421350998368
158,254,-11.361209855965493,147.96655580348718,3.3901628704982496
158,255,-14.394719205728293,134.84086224961789,2.2313628675275727
159,248,14.483913107759339,114.79873038510533,-4.371344235643655
159,249,13.828746504873738,104.9421239374346,-0.9555005950716249
159,250,12.834070084989037,98.25928527347584,-3.0627756589070523
