帧号,车辆ID,速度(m/s),距离(m),角度(deg)
135,270,12.806871089542913,77.26207338967177,2.942078749949447
135,271,13.904275170021258,82.98309814559558,-3.346298840593682
135,272,12.021392438654875,72.15040515324257,1.3748276510478343
135,273,12.737153856018713,47.14668910671055,6.3710528858411895
135,274,1.309343377469546,24.354687769872914,38.35381164688133
135,275,-11.978089785512761,176.2424050453257,-6.1910051828502555
135,276,-14.104088267062897,171.30130654870362,-4.745128493814875
135,277,-11.11892474463569,179.10147839098073,-4.061548296161561
136,270,12.892378554530511,78.54955845818925,2.6310327022981372
136,271,13.96674937645482,84.37871296662489,-3.547618707763672
136,272,11.980251140163974,73.34690753920134,1.092245221691684
136,273,12.928308047107812,48.43358878068723,5.7413228042260895
136,274,2.1280109145950608,24.526990252316256,36.953924313713316
136,275,-11.898339030429,173.85475497759623,-6.067957079488939
136,276,-14.066085166629179,169.8944414828132,-4.658587049407021
136,277,-11.156634303654315,176.87392575663537,-3.9210881942558293
137,270,12.88416032005489,79.83632142706455,2.330947861885273
137,271,13.941478419105628,85.77185796943837,-3.741714765930098
137,272,12.010739204210171,74.54653281109451,0.8186982405967391
137,273,12.95005957942236,49.723195776316494,5.147587300011636
137,274,2.906375141817254,24.778518719611593,35.47113393910621
137,275,-11.974452916113886,172.65716747059201,-6.004930070968828
137,276,-14.111712813336945,168.48300291077152,-4.570275515918033
137,277,-11.1605843870254,176.87392575663537,-3.9210881942558293
138,270,12.889526615162984,81.1236888364669,2.0409505790688827
138,271,13.94076354568132,87.16497888540074,-3.929294551650691
138,272,12.048099723750974,75.74995516863247,0.553608564303533
138,273,13.07543119874448,51.02572482256126,4.58242929472952
138,274,3.662059685148661,25.107078296983563,33.92631134310117
138,275,-11.92492357973172,171.4645108997266,-5.941268576675232
138,276,-14.022750665369129,167.08045697029934,-4.481004782340356
138,277,-11.16312088757998,174.6415478588713,-3.776633248376202
139,270,12.9970505786771,82.42188058399519,1.7583435701957915
139,271,14.00518824341865,88.56459311446027,-4.111517718056597
139,272,12.129154553400081,76.96153934466744,0.2956726256260762
139,273,13.232492104564892,52.344282912706475,4.042577974008198
139,274,4.417107303011436,25.51239072733882,32.33273916332884
139,275,-11.879483890647732,170.2764209391539,-5.876944674242228
139,276,-13.995369201077203,165.6806420834345,-4.390361941832298
139,277,-11.185024341857591,173.52286558682857,-3.7028086477084687
140,270,13.04352919260506,83.72477570397594,1.4841340910320484
140,271,13.978394258487898,89.96156568349856,-4.287475245213706
140,272,12.108038390487867,78.17108416998684,0.046679761874859886
140,273,13.265890315882778,53.6665567180364,3.531030974313619
140,274,5.064826573386313,25.984926177355437,30.734976833384582
140,275,-11.99172865988077,169.0770905392743,-5.811074963517059
140,276,-13.993637457987305,164.28099113437472,-4.298144779726906
140,277,-11.09495862515709,172.4131810883706,-3.628605402234215
141,270,13.06848155725098,85.03024417823262,1.2183769685493417
141,271,14.076648384774906,91.36839069931575,-4.458984731144106
141,272,12.144643756435427,79.38434674309764,-0.19496028231983326
141,273,13.305777781265371,54.99315210274441,3.0453408852392116
141,274,5.724288316007738,26.52524125738593,29.135275386996963
141,275,-11.880961267216417,167.88882549108195,-5.744864005651167
141,276,-14.003217118216513,162.88037930621184,-4.204235573766283
141,277,-11.133157565909476,171.29967186271372,-3.553153228780758
142,270,13.089140735852737,86.33783870975557,0.9607683057717712
142,271,14.100288192090085,92.77762541330296,-4.625337814870415
142,272,12.157069722514251,80.59890467588443,-0.4291112025441418
142,273,13.376082742215276,56.32705809121264,2.5825358870757964
142,274,6.368388977515099,27.131701101475024,27.544982471840193
142,275,-11.880197723837233,166.7006503834857,-5.677692770827029
142,276,-14.0559947073826,161.47447505865748,-4.108288864719926
142,277,-11.161978771793642,170.1832936131686,-3.476487625378617
143,270,13.117050377419872,87.64828166380904,0.7107978622391827
